,alpha,beta,delta
0,1.144006942581965e-07,1.3619130268832916e-07,2.5198215399544868e-09
1,8.025372643584577e-07,9.5540150518864e-07,1.5302232286010705e-08
2,1.8976958429398413e-06,2.2591617177855255e-06,3.5905586074987236e-08
3,3.313344470312173e-06,3.944457702752586e-06,6.20325657857192e-08
4,4.997476241996575e-06,5.94937647856735e-06,9.178405199081542e-08
5,4.885785151688369e-06,5.816410894867106e-06,9.065909428565048e-08
6,4.64789281290242e-06,5.533205729645738e-06,8.558981670025905e-08
7,4.974266776850526e-06,5.921746162917292e-06,8.811151378748491e-08
8,3.7723652460811873e-06,4.490911007239508e-06,6.60768386856181e-08
9,1.7229469025091665e-06,2.0511272648918647e-06,3.139316301047759e-08
10,1.3366584136298491e-06,1.5912600162260108e-06,2.3821195466182395e-08
11,4.6442943311504935e-07,5.528921822798207e-07,8.6483849792987e-09
12,7.460047635358214e-08,8.881009089712159e-08,1.5764058908706664e-09
13,1.0305661208730346e-08,1.2268644296107554e-08,2.3071485300565704e-10
14,2.0676253926118093e-09,2.461458800728344e-09,4.534043692809719e-11
