,alpha,beta,delta
0,3.8037412492313844e-08,4.528263391942124e-08,1.4199982099771483e-09
1,3.5338267470137697e-07,4.2069366035878207e-07,1.0592645965720978e-08
2,8.60177438486596e-07,1.0240207601030905e-06,2.5234013357823044e-08
3,1.544455249853871e-06,1.8386372022069894e-06,4.356331545035498e-08
4,2.071247931411765e-06,2.4657713469187675e-06,5.773121647467314e-08
5,2.2284383879802028e-06,2.6529028428335744e-06,6.198855387519945e-08
6,1.7956014003973089e-06,2.1376207147587006e-06,5.170647352331366e-08
7,1.6075332297598803e-06,1.9137300354284286e-06,4.480717317210963e-08
8,1.1205959143498656e-06,1.3340427551784114e-06,3.110954169245134e-08
9,5.785098077175349e-07,6.887021520446844e-07,1.6905611788530967e-08
10,4.158289556761854e-07,4.950344710430778e-07,1.1536257666298436e-08
11,2.1412673090036722e-07,2.549127748813895e-07,5.96027077134342e-09
12,5.428594351353955e-08,6.462612323040422e-08,1.6480119730224115e-09
13,2.578422836340299e-09,3.069550995643213e-09,1.0126650045849474e-10
14,6.327148001217069e-10,7.532319049067938e-10,2.5657978632894173e-11
