,alpha,beta,delta
0,4.779316085993122e-08,5.689662007134669e-08,1.1295574281187947e-09
1,3.9008800455901806e-07,4.643904816178786e-07,6.973626673486427e-09
2,9.87967588988904e-07,1.176151891653457e-06,1.720329950244704e-08
3,1.8485529562666746e-06,2.2006582812698504e-06,3.1022900248339526e-08
4,2.3235251978192605e-06,2.76610142597531e-06,3.930673816000568e-08
5,2.7377353144680573e-06,3.259208707700068e-06,4.529705549248456e-08
6,2.282291603950939e-06,2.7170138142273084e-06,3.817304301137053e-08
7,2.2884945681426755e-06,2.7243982954079467e-06,3.586987232449142e-08
8,1.8706826097241086e-06,2.227003106814415e-06,2.8200146699087146e-08
9,8.725367468909962e-07,1.0387342224892811e-06,1.4079394687804479e-08
10,6.359915936394535e-07,7.571328495707779e-07,9.838922740836672e-09
11,2.6088522171929787e-07,3.1057764490392603e-07,4.140150333186709e-09
12,3.558763478495779e-08,4.236623188685451e-08,7.404804697796782e-10
13,4.2160257809790474e-09,5.019078310689343e-09,1.0494342627802257e-10
14,8.721092611941523e-10,1.0382253109454193e-09,2.078066662760123e-11
