,alpha,beta,delta
0,7.886419627374008e-08,9.388594794492865e-08,2.0751990789795346e-09
1,6.271723915479797e-07,7.466337994618806e-07,1.4222619541454025e-08
2,1.3340479646796412e-06,1.5881523389043347e-06,3.061877000956342e-08
3,2.9459830950482098e-06,3.5071227322002493e-06,6.475364391012503e-08
4,3.5317239091279505e-06,4.204433225152322e-06,7.818019707237922e-08
5,3.657264597486662e-06,4.353886425579359e-06,8.076292351537692e-08
6,3.585323606604137e-06,4.2682423888144485e-06,7.823350143060048e-08
7,3.349389816087316e-06,3.987368828675376e-06,7.146963456502303e-08
8,2.8124123951499677e-06,3.3481099942261517e-06,5.8526839102197255e-08
9,1.4049134919147765e-06,1.6725160618033053e-06,3.0073675149911915e-08
10,9.58331861407032e-07,1.1408712635797998e-06,2.0512421530384474e-08
11,3.743375282629358e-07,4.456399145987331e-07,8.319498129163506e-09
12,5.574914589029453e-08,6.63680308217792e-08,1.401576381456127e-09
13,7.070226959163548e-09,8.416936856147081e-09,1.9046326235424004e-10
14,1.4038707842703762e-09,1.671274743179019e-09,3.73377112975274e-11
