,alpha,beta,delta
0,6.056582949530252e-08,7.210217797059823e-08,1.7987892696457126e-09
1,5.213691451420216e-07,6.206775537405019e-07,1.337075570031417e-08
2,1.0970185483355493e-06,1.3059744623042252e-06,2.860228329289298e-08
3,2.2433153001215075e-06,2.670613452525604e-06,5.658387546569804e-08
4,2.7962159231908533e-06,3.3288284799891107e-06,7.033877125617512e-08
5,3.272366682584333e-06,3.895674622124206e-06,8.096870304843501e-08
6,2.7755449540934703e-06,3.304220183444607e-06,6.860661691894075e-08
7,2.732851041916497e-06,3.253394097519639e-06,6.539127613488801e-08
8,2.00050539981536e-06,2.3815540473992376e-06,4.7571211018982975e-08
9,1.0650947238561282e-06,1.2679699093525336e-06,2.595112884531122e-08
10,8.401829313832791e-07,1.0002177754562845e-06,2.0107557149626883e-08
11,3.166295631335642e-07,3.7693995611138593e-07,7.899213710668582e-09
12,4.484812282640141e-08,5.339062241238263e-08,1.2718848788188402e-09
13,5.412316390192868e-09,6.443233797848652e-09,1.6615041243775496e-10
14,1.0793085687195775e-09,1.284891153237592e-09,3.2650187844964734e-11
