,alpha,beta,delta
0,3.569091881613143e-08,4.248918906682313e-08,1.3701586077359063e-09
1,3.3682974851930125e-07,4.00987795856311e-07,1.0374013400907396e-08
2,8.176664869485903e-07,9.734124844626073e-07,2.4533569494373488e-08
3,1.4898715097716546e-06,1.7736565592519696e-06,4.2648699691503504e-08
4,1.9003561428615818e-06,2.262328741501883e-06,5.4419570533212245e-08
5,2.1392634207233376e-06,2.5467421675277827e-06,6.081227151774163e-08
6,1.6962998450872954e-06,2.019404577484875e-06,5.015382294586883e-08
7,1.5334226420298185e-06,1.8255031452735931e-06,4.373257185572724e-08
8,1.0749152402812646e-06,1.2796610003348387e-06,3.07464848197698e-08
9,5.329726098519122e-07,6.344912022046573e-07,1.612521566384205e-08
10,3.82608598255724e-07,4.554864264949095e-07,1.1011079149608975e-08
11,2.0888786384454878e-07,2.486760283863676e-07,5.953484872551479e-09
12,5.0637693698299174e-08,6.028296868845139e-08,1.5803681909010944e-09
13,2.4174464146752063e-09,2.8779123984228643e-09,9.811451809225251e-11
14,6.014962655806093e-10,7.160669828340587e-10,2.4897847907020903e-11
