,alpha,beta,delta
0,1.806055128144269e-08,2.150065628743177e-08,9.194944330469438e-10
1,1.9213435405902534e-07,2.2873137387979207e-07,7.821163310477659e-09
2,4.298386371839127e-07,5.117126633141818e-07,1.694610638739466e-08
3,7.478484802923309e-07,8.902958098718224e-07,2.841871130801319e-08
4,9.220229303810247e-07,1.097646345691696e-06,3.495105273069594e-08
5,1.0085800627798269e-06,1.2006905509283653e-06,3.86257217309088e-08
6,9.52612592008406e-07,1.1340626095338165e-06,3.65254977603646e-08
7,8.354344266551145e-07,9.945647936370408e-07,3.162735195148729e-08
8,5.286839498361546e-07,6.293856545668507e-07,2.049225605527231e-08
9,2.7400859839540313e-07,3.262007123754799e-07,1.0945593422490733e-08
10,1.7893696139917587e-07,2.1302019214187603e-07,6.911705734890377e-09
11,9.905343179425126e-08,1.179207521360134e-07,3.748941018140956e-09
12,2.2607664602922302e-08,2.691388643205036e-08,9.440084829896987e-10
13,1.3525358440395709e-09,1.610161719094727e-09,6.950637204889008e-11
14,3.262962983289308e-10,3.884479742011081e-10,1.8155079776817318e-11
