,alpha,beta,delta
0,1.5011602391521886e-08,1.7870955228002245e-08,8.177007574406414e-10
1,1.6324722036784125e-07,1.943419290093348e-07,7.062067609103244e-09
2,3.482365194634591e-07,4.1456728507554654e-07,1.4810879270785603e-08
3,5.908050557720137e-07,7.033393521095401e-07,2.4262598241091095e-08
4,7.120820102347019e-07,8.477166788508356e-07,2.9192527361810097e-08
5,7.885346919666398e-07,9.387317761507616e-07,3.2421302877132164e-08
6,7.710085649580529e-07,9.178673392357772e-07,3.2186619051563035e-08
7,7.065154391959923e-07,8.410898085666576e-07,2.8546453130685744e-08
8,4.407343654386677e-07,5.246837683793663e-07,1.818383155744296e-08
9,2.184840901080543e-07,2.601001072714932e-07,9.529577254436825e-09
10,1.4073400899939556e-07,1.6754048690404233e-07,5.879983263357456e-09
11,8.445861806814435e-08,1.0054597389064802e-07,3.435649940602224e-09
12,1.6457755188810912e-08,1.959256570096537e-08,7.399882638114441e-10
13,1.1679348126837267e-09,1.3903985865282458e-09,6.453777393157531e-11
14,2.819521000773474e-10,3.356572619968421e-10,1.6665786612686517e-11
