,alpha,beta,delta
0,4.310523331673821e-08,5.1315753948497864e-08,1.5229777868241084e-09
1,3.8169313408665016e-07,4.54396588198393e-07,1.0968087408056437e-08
2,9.568267312803262e-07,1.1390794420003884e-06,2.6525965979218485e-08
3,1.7308144309274082e-06,2.0604933701516764e-06,4.610695620974689e-08
4,2.341415027588004e-06,2.7873988423666713e-06,6.170531890839826e-08
5,2.2573359348680776e-06,2.687304684366759e-06,6.075331623035237e-08
6,2.0363202292241134e-06,2.4241907490763255e-06,5.547576083322949e-08
7,1.8785215083670443e-06,2.236335129008386e-06,4.9357097011880747e-08
8,1.2214579911167506e-06,1.4541166560913697e-06,3.2433779700602156e-08
9,6.628748530622918e-07,7.891367298360617e-07,1.8241300991961324e-08
10,4.56821950678247e-07,5.438356555693416e-07,1.2057318057348854e-08
11,2.4072870488427457e-07,2.865817915288983e-07,6.377524231296472e-09
12,6.016088306969791e-08,7.162009889249752e-08,1.7491651315612832e-09
13,2.8612924588595143e-09,3.4063005462613263e-09,1.0754354845199059e-10
14,7.06543926235514e-10,8.411237217089451e-10,2.7169879405741683e-11
