,alpha,beta,delta
0,1.0646565785058747e-08,1.267448307745089e-08,4.172675749460084e-10
1,5.107957656235189e-08,6.080901971708557e-08,2.2417751118600012e-09
2,9.574172500967048e-08,1.139782440591315e-07,4.515336339844581e-09
3,2.1432910270610428e-07,2.551536936977432e-07,1.0191566916591415e-08
4,1.9639067840652062e-07,2.337984266744293e-07,9.773132487041255e-09
5,2.9300990455326273e-07,3.488213149443604e-07,1.3901809779158807e-08
6,2.0567499965890576e-07,2.448511900701259e-07,1.0027819200435946e-08
7,2.6357229027379156e-07,3.1377653604022806e-07,1.1987991388989923e-08
8,1.7777558430807995e-07,2.1163760036676184e-07,8.053569428745839e-09
9,9.112487691703795e-08,1.0848199632980708e-07,4.1270507515691095e-09
10,6.01127132380509e-08,7.15627538548225e-08,2.700631236877037e-09
11,2.995105254581707e-08,3.565601493549651e-08,1.300306558069273e-09
12,5.387786921463519e-09,6.414032049361331e-09,2.1249658925275468e-10
13,1.3537167678743105e-09,1.6115675808027505e-09,4.050197859441437e-11
14,7.13535972756708e-10,8.494475866151285e-10,1.8266076403699354e-11
