,alpha,beta,delta
0,4.1180591730252537e-08,4.902451396458635e-08,2.246787161873016e-09
1,4.3277304603187614e-07,5.152060071808048e-07,2.2369389991890207e-08
2,9.411616121737478e-07,1.1204304906830331e-06,4.8385375857671684e-08
3,1.6139683649003957e-06,1.921390910595709e-06,8.248494368371951e-08
4,2.079054463480199e-06,2.475064837476427e-06,1.0572396627444709e-07
5,2.416571348912859e-06,2.8768706534676893e-06,1.218886243650967e-07
6,1.929021098516267e-06,2.2964536887098417e-06,9.768892646757365e-08
7,1.8115930596905073e-06,2.1566584043934607e-06,9.12457528998986e-08
8,1.1577061264123455e-06,1.378221579062316e-06,5.837704986068424e-08
9,5.953052658697743e-07,7.086967450830646e-07,3.010558859106583e-08
10,5.186757544441769e-07,6.174711362430677e-07,2.5875743205229933e-08
11,2.683195945069697e-07,3.1942808869877343e-07,1.3592418932025531e-08
12,5.6411241396462435e-08,6.715623975769337e-08,2.9414947631821382e-09
13,2.9927391988738233e-09,3.5627847605640752e-09,1.684887467398618e-10
14,7.791226641338159e-10,9.275269811116855e-10,4.3633178162522955e-11
