,alpha,beta,delta
0,7.255256386502703e-08,8.637209983931788e-08,1.9857790044815564e-09
1,5.742979648112463e-07,6.836880533467218e-07,1.3630985860538759e-08
2,1.3691007502033867e-06,1.6298818454802223e-06,3.2263386491211446e-08
3,2.434642726571434e-06,2.898384198299326e-06,5.66471204676331e-08
4,3.4207104425035997e-06,4.072274336313809e-06,7.861959570559059e-08
5,3.482917939348564e-06,4.146330880176861e-06,8.022536095407862e-08
6,3.2010134228297184e-06,3.810730265273474e-06,7.305598399753304e-08
7,3.394419196251434e-06,4.040975233632659e-06,7.433445386273809e-08
8,2.389747230969345e-06,2.8449371797254104e-06,5.217599323526955e-08
9,1.3501597456557538e-06,1.607333030542564e-06,2.990769016559021e-08
10,9.120588843629786e-07,1.085784386146403e-06,2.0236479978406345e-08
11,3.5191888173913446e-07,4.189510496894457e-07,8.125829695987763e-09
12,5.189714035067206e-08,6.178230994127625e-08,1.35667883996472e-09
13,6.4982668890337725e-09,7.73603201075449e-09,1.8251914711346626e-10
14,1.2909080092703893e-09,1.5367952491314157e-09,3.576517336701643e-11
