,alpha,beta,delta
0,2.320845043690756e-08,2.762910766298519e-08,1.070533182786672e-09
1,2.3768043073641793e-07,2.8295289373383085e-07,8.685731555813841e-09
2,5.696502434451124e-07,6.781550517203718e-07,2.0263600082635413e-08
3,9.827724925063102e-07,1.1699672529837026e-06,3.360420925611258e-08
4,1.2605120168929646e-06,1.5006095439201957e-06,4.290132798683085e-08
5,1.3153472479315396e-06,1.5658895808708803e-06,4.55679675291805e-08
6,1.2266484760307495e-06,1.4602958047985111e-06,4.263414421633492e-08
7,1.0929729941288412e-06,1.3011583263438585e-06,3.7257636235460076e-08
8,6.645612243466823e-07,7.911443146984312e-07,2.3298175339035575e-08
9,3.5038330446106323e-07,4.171229815012657e-07,1.2567362048631817e-08
10,2.4736724992420564e-07,2.9448482133834005e-07,8.463494447641044e-09
11,1.3034869987243702e-07,1.551770236576631e-07,4.49895345993436e-09
12,3.237889181301106e-08,3.854629977739411e-08,1.2015453373231587e-09
13,1.6483565655958122e-09,1.962329244756919e-09,7.882782914704846e-11
14,4.055247224716503e-10,4.827675267519646e-10,2.0393914019689782e-11
