,alpha,beta,delta
0,1.0035162947974215e-07,1.1946622557112161e-07,2.3570746490601535e-09
1,7.241073799414649e-07,8.620325951684106e-07,1.4788947571733244e-08
2,1.6181293726326932e-06,1.9263444912293967e-06,3.3169643558352956e-08
3,3.256863691074977e-06,3.877218679851163e-06,6.477500506390505e-08
4,3.997571628646002e-06,4.759013843626193e-06,7.973807235795825e-08
5,4.94153314722678e-06,5.8827775562223565e-06,9.652007960249037e-08
6,4.241620376471789e-06,5.04954806722832e-06,8.314575582514033e-08
7,4.429986421066156e-06,5.27379335841209e-06,8.377443956474544e-08
8,3.11988636183143e-06,3.7141504307517023e-06,5.885455150633587e-08
9,1.6438725696449472e-06,1.9569911543392227e-06,3.173644194860009e-08
10,1.1238167570068619e-06,1.3378770916748355e-06,2.157747219915509e-08
11,4.5044628294358176e-07,5.362455749328354e-07,8.911993663023028e-09
12,6.6698916014765e-08,7.94034714461488e-08,1.5073171088135069e-09
13,8.910958856488291e-09,1.060828435296225e-08,2.145274149934087e-10
14,1.780668725709805e-09,2.119843721083101e-09,4.210686681384364e-11
