,alpha,beta,delta
0,1.9690949682257832e-08,2.3441606764592656e-08,9.700516175179612e-10
1,2.0734532011802102e-07,2.468396668071679e-07,8.152924870801713e-09
2,4.698074902332643e-07,5.592946312300765e-07,1.7821283463706045e-08
3,8.089633291317106e-07,9.630515822996555e-07,2.986340921464154e-08
4,1.1111356546778498e-06,1.3227805412831543e-06,4.042334818007717e-08
5,1.068410869545993e-06,1.2719177018404676e-06,3.9792818073423455e-08
6,1.0477642885630971e-06,1.2473384387655918e-06,3.8694923881101554e-08
7,8.689682603331864e-07,1.0344860242061743e-06,3.23339704428599e-08
8,6.118662124354323e-07,7.284121576612289e-07,2.2443671850081055e-08
9,2.915161087549116e-07,3.4704298661299e-07,1.1221045385397616e-08
10,1.945552060484373e-07,2.3161334053385394e-07,7.276468013024393e-09
11,1.1197490960358866e-07,1.33303463813796e-07,4.114924826339565e-09
12,2.6097893430876818e-08,3.106892075104383e-08,1.0387502112139457e-09
13,1.4239588841167796e-09,1.6951891477580708e-09,7.223156904523093e-11
14,3.5141296382782314e-10,4.183487664616942e-10,1.890087836191086e-11
