,alpha,beta,delta
0,4.2280792455794953e-08,5.033427673308923e-08,1.880549789751843e-09
1,4.1862697472132904e-07,4.983654460968202e-07,1.6970935669033042e-08
2,9.75676259713635e-07,1.1615193568019464e-06,3.918366133324276e-08
3,1.6618078281732703e-06,1.9783426525872262e-06,6.588823212927154e-08
4,2.350155862801783e-06,2.797804598573551e-06,9.264417722241714e-08
5,2.2325682798684144e-06,2.6578193807957313e-06,8.836683724416354e-08
6,1.9285325173906837e-06,2.2958720445127185e-06,7.669153899288702e-08
7,1.8802815709027487e-06,2.238430441550891e-06,7.319827310199436e-08
8,1.2824827585129948e-06,1.5267651887059461e-06,4.997807640137648e-08
9,6.065150911760996e-07,7.220417752096422e-07,2.408313165414169e-08
10,4.967725890078138e-07,5.913959392950164e-07,1.9330288582346266e-08
11,2.676525562358685e-07,3.1863399551889103e-07,1.0506943968390057e-08
12,5.8083711961923156e-08,6.914727614514661e-08,2.3835196420274185e-09
13,3.0013182880356195e-09,3.5729979619471658e-09,1.3949565319241775e-10
14,7.560978038906289e-10,9.001164332031296e-10,3.566369040993431e-11
