,alpha,beta,delta
0,4.566250382969858e-08,5.436012360678402e-08,1.574423326112264e-09
1,3.973830302081393e-07,4.7307503596207054e-07,1.1159329481879973e-08
2,9.926977802928197e-07,1.1817830717771664e-06,2.6927403190426595e-08
3,1.8093035628690867e-06,2.153932812939389e-06,4.700517415547219e-08
4,2.4697984813701254e-06,2.9402362873453873e-06,6.298191240941568e-08
5,2.3834586468646807e-06,2.8374507700770007e-06,6.231372310026481e-08
6,2.23114261329121e-06,2.6561221586800116e-06,5.8300104720318115e-08
7,1.9019932007320718e-06,2.2642776199191327e-06,4.919674070144273e-08
8,1.4115320600860367e-06,1.6803953096262342e-06,3.602802911347891e-08
9,7.33813765203598e-07,8.73587815718569e-07,1.962560670499962e-08
10,5.31841903735122e-07,6.331451234941928e-07,1.3596988091037432e-08
11,2.3942342025998414e-07,2.8502788126188585e-07,6.2623975567353606e-09
12,4.4073467039499e-08,5.246841314226071e-08,1.3111495699595028e-09
13,3.957939479065694e-09,4.711832713173445e-09,1.41132312624373e-10
14,7.48950106132513e-10,8.916072692053726e-10,2.790334402276479e-11
