,alpha,beta,delta
0,1.5537289907218232e-07,1.8496773699069322e-07,2.9404586473455207e-09
1,1.0416950210295843e-06,1.2401131202733146e-06,1.6911331385933838e-08
2,2.1201824916590752e-06,2.524026775784613e-06,3.511698068889581e-08
3,4.3530070735772405e-06,5.182151278068143e-06,6.94142865938334e-08
4,5.675977376344706e-06,6.757115924219887e-06,9.032121356100947e-08
5,6.973528558010874e-06,8.301819711917707e-06,1.089899081161669e-07
6,5.451339640733746e-06,6.489690048492554e-06,8.663793407848383e-08
7,6.312055996400478e-06,7.514352376667235e-06,9.5445514813107e-08
8,4.504457813086198e-06,5.362449777483569e-06,6.788465709052873e-08
9,2.331148202129012e-06,2.7751764311059667e-06,3.6145604266131496e-08
10,1.5559649250606132e-06,1.8523391965007298e-06,2.3901708390547768e-08
11,5.225523323749538e-07,6.22086109970183e-07,8.472334434001082e-09
12,9.530809480851977e-08,1.1346201762919019e-07,1.7380823685837937e-09
13,1.4156469439991926e-08,1.6852939809514198e-08,2.7031568665205894e-10
14,2.8970298568763097e-09,3.448845067709892e-09,5.360909660852367e-11
