,alpha,beta,delta
0,9.183207644295764e-08,1.0932390052733051e-07,2.2458339711505797e-09
1,7.120564166162411e-07,8.476862102574299e-07,1.492251085353152e-08
2,1.5673174108165108e-06,1.865854060495846e-06,3.3132405240490404e-08
3,3.142412173680578e-06,3.740966873429259e-06,6.459269330626565e-08
4,3.8067366179728166e-06,4.5318293071104955e-06,7.856634559563567e-08
5,4.238222665778258e-06,5.045503173545545e-06,8.665228370435165e-08
6,4.083661670662187e-06,4.861501988883555e-06,8.287058839140911e-08
7,3.831925138571965e-06,4.5618156411571005e-06,7.569345052601059e-08
8,3.2591851617597245e-06,3.879982335428243e-06,6.295702221045105e-08
9,1.5490404357854873e-06,1.8440957568874848e-06,3.09285184589536e-08
10,1.1669403888890483e-06,1.3892147486774382e-06,2.2950847248454588e-08
11,4.0070955910905796e-07,4.770351894155452e-07,8.265205770216137e-09
12,6.334313438648652e-08,7.540849331724585e-08,1.4774621315741664e-09
13,8.268729227119197e-09,9.843725270379996e-09,2.0660120510919692e-10
14,1.6520351432383394e-09,1.966708503855166e-09,4.050853288557515e-11
