,alpha,beta,delta
0,2.661006641653002e-08,3.167865049586907e-08,7.112635913596322e-10
1,1.628390715721869e-07,1.9385603758593675e-07,4.614439091621961e-09
2,3.329892630842844e-07,3.964157893860528e-07,1.004118120075286e-08
3,5.953793972464893e-07,7.08784996722011e-07,1.8464423017271745e-08
4,9.595733146409465e-07,1.1423491840963648e-06,2.977110753765886e-08
5,8.730302254355504e-07,1.0393216969470837e-06,2.7825181240206974e-08
6,7.089217930941893e-07,8.439545155883206e-07,2.2609889848725246e-08
7,9.420521959916818e-07,1.1214907095139068e-06,2.8283490241516423e-08
8,6.524843862951711e-07,7.767671265418703e-07,1.9264447431648837e-08
9,3.4164245316154934e-07,4.0671720614470156e-07,1.006981729712766e-08
10,2.6172831038194787e-07,3.1158132188327126e-07,7.540423030895061e-09
11,8.735974705453969e-08,1.0399969887445201e-07,2.5028663789361035e-09
12,1.4047416750123496e-08,1.6723115178718447e-08,3.8733545480923865e-10
13,2.7524584573418845e-09,3.2767362587403382e-09,6.410774571308477e-11
14,1.1018745139421654e-09,1.3117553737406731e-09,2.0139559710419075e-11
