,alpha,beta,delta
0,9.545507000086917e-09,1.136369880962728e-08,5.957814006376241e-10
1,9.781769003751073e-08,1.1644963099703657e-07,4.965248358196634e-09
2,1.8720385337538016e-07,2.228617302087859e-07,9.370689937565528e-09
3,3.050019018861263e-07,3.630975022453884e-07,1.4711983643397286e-08
4,3.2089724900303814e-07,3.8202053452742635e-07,1.57134696811091e-08
5,4.2413401102395596e-07,5.049214416951857e-07,2.090864016589787e-08
6,4.513343269513387e-07,5.37302770180165e-07,2.120253267764042e-08
7,4.2640283817192326e-07,5.076224263951466e-07,2.0128154356598773e-08
8,2.4975992809749814e-07,2.973332477351168e-07,1.2128214388412879e-08
9,1.208349475426968e-07,1.4385112802701998e-07,6.039472233337514e-09
10,7.450694726445122e-08,8.86987467433943e-08,3.5828257727086477e-09
11,4.3825149711981665e-08,5.2172797276168645e-08,2.1074399294585394e-09
12,7.802681992004421e-09,9.288907133338596e-09,4.1950853557683313e-10
13,7.94355845929134e-10,9.45661721344207e-10,4.833486928884531e-11
14,1.9726626045187442e-10,2.348407862522314e-10,1.3667785707592477e-11
