,alpha,beta,delta
0,8.83907503750337e-09,1.0522708377980201e-08,7.70172952110734e-10
1,9.355602112408927e-08,1.113762156239158e-07,7.401463163839407e-09
2,1.6439201428862614e-07,1.957047789150311e-07,1.2795930602481587e-08
3,3.007655465116724e-07,3.580542220377052e-07,2.3285661258631424e-08
4,3.3346459750523633e-07,3.9698166369670985e-07,2.549210485324337e-08
5,3.7238590700932413e-07,4.4331655596348105e-07,2.9059362733382942e-08
6,3.738829308111072e-07,4.4509872715608e-07,2.929007929932996e-08
7,3.880008160449985e-07,4.619057333869029e-07,3.015045732567101e-08
8,2.1479829516135673e-07,2.557122561444723e-07,1.6888182955402628e-08
9,1.130083087446187e-07,1.3453370088645082e-07,8.787568059202594e-09
10,7.4008438779268e-08,8.810528426103334e-08,5.733285712009374e-09
11,4.262855951538266e-08,5.074828513736031e-08,3.331605164098671e-09
12,7.711147521509858e-09,9.179937525606974e-09,6.1719181428658e-10
13,7.334874501024259e-10,8.731993453600308e-10,6.303090852076856e-11
14,1.7952012030516713e-10,2.1371442893472278e-10,1.667414186814197e-11
