,alpha,beta,delta
0,1.379027581747369e-07,1.641699502080201e-07,2.7682672142053984e-09
1,9.57104570785759e-07,1.1394102033163796e-06,1.6458633813118007e-08
2,2.030633460741831e-06,2.4174207865974176e-06,3.539888984401194e-08
3,3.910335650780522e-06,4.65516148902443e-06,6.639901976744964e-08
4,5.525131675271184e-06,6.577537708656171e-06,9.282554742535048e-08
5,5.875562781140208e-06,6.994717596595485e-06,9.86707693458161e-08
6,5.2417342746221726e-06,6.240159850740681e-06,8.801568826386065e-08
7,5.612128415985326e-06,6.6811052571253865e-06,9.055262864504029e-08
8,4.11634583530846e-06,4.900411708700547e-06,6.58762424857594e-08
9,2.113556341847198e-06,2.516138502199045e-06,3.481867890862624e-08
10,1.4912602698668309e-06,1.7753098450795605e-06,2.421592505469799e-08
11,5.098661475484554e-07,6.069835089862564e-07,8.677640468718034e-09
12,8.633497485371983e-08,1.0277973196871408e-07,1.6687288604537482e-09
13,1.253918030357852e-08,1.4927595599498235e-08,2.5458031158488793e-10
14,2.5460236256096687e-09,3.030980506678177e-09,5.026938873244427e-11
