,alpha,beta,delta
0,9.399211254878416e-09,1.118953720818859e-08,3.891517580109024e-10
1,6.987197838238525e-08,8.318092664569673e-08,2.9963774770913843e-09
2,1.2915628642120728e-07,1.5375748383477055e-07,6.098686408040389e-09
3,2.3421881390692027e-07,2.788319213177622e-07,1.0362499902746499e-08
4,3.294367131263471e-07,3.9218656324565125e-07,1.41693161166235e-08
5,2.830893352431594e-07,3.370111133847135e-07,1.2077782435040432e-08
6,2.88745422937948e-07,3.4374455111660475e-07,1.2382042671593268e-08
7,2.726312211014543e-07,3.2456097750173127e-07,1.1271319794401847e-08
8,2.0619827093735247e-07,2.454741320682767e-07,8.272299885983707e-09
9,9.196805529594664e-08,1.0948578011422217e-07,3.882253380786823e-09
10,7.552571468599971e-08,8.99115651023806e-08,3.1001356054223677e-09
11,3.7355644261013804e-08,4.447100507263548e-08,1.5522690586229654e-09
12,6.319395747711082e-09,7.523090175846526e-09,2.6820039606308566e-10
13,9.046689903710916e-10,1.0769868932989185e-09,3.3292769339342185e-11
14,3.284235759530995e-10,3.9098044756321367e-10,1.1387697266310962e-11
