,alpha,beta,delta
0,1.6459478281013946e-08,1.9594617001207076e-08,8.678217202274578e-10
1,1.7861802473455385e-07,2.126405056363736e-07,7.537670522170571e-09
2,3.8902503224246e-07,4.63125038383881e-07,1.5885013056486083e-08
3,6.501378839282815e-07,7.739736713431923e-07,2.5875275947614176e-08
4,8.142212748618892e-07,9.69311041502249e-07,3.220040891908894e-08
5,9.100041149812156e-07,1.0833382321204947e-06,3.6059935444902536e-08
6,8.721985516400209e-07,1.038331609095263e-06,3.510054161205503e-08
7,7.823822567457403e-07,9.314074485068336e-07,3.048577353318783e-08
8,4.595618701593173e-07,5.470974644753777e-07,1.842825692033078e-08
9,2.4834298209399686e-07,2.9564640725475815e-07,1.0300001158349372e-08
10,1.658477763791689e-07,1.974378290228201e-07,6.587411343639249e-09
11,9.029158130588517e-08,1.0748997774510139e-07,3.5785382921273315e-09
12,1.9298830492035958e-08,2.2974798204804712e-08,8.30808198645016e-10
13,1.2702615494369659e-09,1.5122161302821022e-09,6.829367191459485e-11
14,3.03379163442738e-10,3.611656707651642e-10,1.7411262509655223e-11
