,alpha,beta,delta
0,5.489024019773795e-08,6.534552404492613e-08,1.7072360232026844e-09
1,4.7459854488862125e-07,5.649982677245491e-07,1.2764214471620373e-08
2,1.0638656562219964e-06,1.2665067335976146e-06,2.8739752374967872e-08
3,2.059652956376495e-06,2.451967805210113e-06,5.410989536218629e-08
4,2.5736413638885384e-06,3.0638587665339744e-06,6.760064361405546e-08
5,2.869826948721633e-06,3.4164606532400395e-06,7.488973970228392e-08
6,2.431977576441589e-06,2.895211400525701e-06,6.316689569318764e-08
7,2.883206127093546e-06,3.4323882465399355e-06,7.130274006986908e-08
8,1.8629927432774224e-06,2.2178485039016933e-06,4.62209238367812e-08
9,9.046725975588462e-07,1.076991187570055e-06,2.309048198138016e-08
10,7.680659548191493e-07,9.143642319275587e-07,1.9201446378424255e-08
11,2.9701405453926747e-07,3.535881601657946e-07,7.736501596813214e-09
12,4.198196590071333e-08,4.997853083418254e-08,1.236158614194623e-09
13,4.912007206692699e-09,5.8476276270151175e-09,1.5779784496479633e-10
14,9.806347970091583e-10,1.167422377391855e-09,3.110668480541453e-11
