,alpha,beta,delta
0,2.243540827823823e-08,2.670881937885503e-08,1.6178389244228783e-09
1,2.401288860704347e-07,2.858677215124222e-07,1.652626354053157e-08
2,4.971160687645215e-07,5.918048437672874e-07,3.409448504194795e-08
3,9.73081776343125e-07,1.1584306861227676e-06,6.591533725901932e-08
4,1.0864771317917645e-06,1.2934251568949578e-06,7.374072693037748e-08
5,1.0996427346116508e-06,1.3090984935852985e-06,7.463620510545233e-08
6,1.1348455404838307e-06,1.351006595814084e-06,7.656415594391224e-08
7,9.384581549157218e-07,1.117212089185383e-06,6.310393392627663e-08
8,6.557617771166799e-07,7.806687822817618e-07,4.3686480269857046e-08
9,3.271052913515284e-07,3.8941106113277186e-07,2.194328444734241e-08
10,2.5612276859927663e-07,3.049080578562817e-07,1.70606594307276e-08
11,1.4335431802648046e-07,1.7065990241247673e-07,9.651359451673492e-09
12,2.583335126882424e-08,3.075398960574314e-08,1.7964857310542804e-09
13,1.7896251162474874e-09,2.1305060907708183e-09,1.3200276960327443e-10
14,4.2067994844316944e-10,5.008094624323446e-10,3.180961291713298e-11
