,alpha,beta,delta
0,2.410062650058977e-08,2.8691222024511628e-08,7.522512056166288e-10
1,2.446361012432258e-07,2.912334538609831e-07,5.590733277826483e-09
2,6.231248723065663e-07,7.418153241744836e-07,1.362506964827642e-08
3,1.0923959451659072e-06,1.3004713632927465e-06,2.3287193002615906e-08
4,1.323669594770853e-06,1.5757971366319677e-06,2.8219001069107754e-08
5,1.5319281464658244e-06,1.823723983887886e-06,3.179637548700561e-08
6,1.1495778146514896e-06,1.3685450174422493e-06,2.4338297124621957e-08
7,1.216235198150244e-06,1.447899045416957e-06,2.3964199088597882e-08
8,8.059605088928732e-07,9.594767963010395e-07,1.574766275956604e-08
9,4.059707242745382e-07,4.832984812792121e-07,8.389337360879944e-09
10,3.0738222339495067e-07,3.6593121832732214e-07,6.007119540134527e-09
11,1.6063634451857005e-07,1.9123374347448813e-07,3.212391790218367e-09
12,2.499554565348236e-08,2.975660196843138e-08,6.386281228211613e-10
13,1.8245936306968317e-09,2.172135274639085e-09,5.631931279520921e-11
14,4.758472122281983e-10,5.664847764621408e-10,1.5147722627762e-11
