,alpha,beta,delta
0,2.5113225475614718e-08,2.9896696994779424e-08,1.1187005527446718e-09
1,2.532346120211719e-07,3.0146977621568084e-07,9.024206134709347e-09
2,6.167223398387835e-07,7.341932617128374e-07,2.1104860188128818e-08
3,1.06880535233655e-06,1.2723873242101786e-06,3.559822616854364e-08
4,1.3987938814873815e-06,1.6652308112945017e-06,4.598264110356753e-08
5,1.3848325715594356e-06,1.648610204237423e-06,4.685953248070165e-08
6,1.2919259867279968e-06,1.538007127057139e-06,4.3800892806845127e-08
7,1.145778867424604e-06,1.3640224612197668e-06,3.80827417678258e-08
8,7.594948071505953e-07,9.041604847030895e-07,2.518256317956162e-08
9,3.7872635244063803e-07,4.508647052864738e-07,1.3229111060364094e-08
10,2.6301812694178784e-07,3.1311681778784264e-07,8.786413693378311e-09
11,1.4458012518942512e-07,1.7211919665407752e-07,4.8069269618649955e-09
12,3.5208273124886813e-08,4.191461086296049e-08,1.2677435792695247e-09
13,1.7689445405559008e-09,2.1058863578046436e-09,8.206600322893165e-11
14,4.3522819916888335e-10,5.18128808534385e-10,2.1143401787296674e-11
