,alpha,beta,delta
0,1.064179572895076e-07,1.2668804439227094e-07,2.4263097717680647e-09
1,7.990778227572307e-07,9.512831223300365e-07,1.561136407226856e-08
2,1.647894159716855e-06,1.9617787615676844e-06,3.281586837316681e-08
3,3.427926470003777e-06,4.0808648452425915e-06,6.566144931978377e-08
4,4.6550152738283e-06,5.5416848497955946e-06,8.857697967914554e-08
5,4.839093538459852e-06,5.760825641023632e-06,9.22835221655207e-08
6,4.339062807543756e-06,5.165550961361614e-06,8.26588789196128e-08
7,4.3583149694336316e-06,5.1884702017067035e-06,8.062168269932492e-08
8,3.4802566013326133e-06,4.143162620634063e-06,6.314602535967395e-08
9,1.7773366983101865e-06,2.115877021797841e-06,3.311590579889574e-08
10,1.2204485588836747e-06,1.4529149510519934e-06,2.2583255997862218e-08
11,4.49968694998648e-07,5.356770178555333e-07,8.639566366620024e-09
12,7.132353270951305e-08,8.490896751132505e-08,1.551590920282505e-09
13,9.561821464765811e-09,1.1383120791387869e-08,2.2230736704117728e-10
14,1.9176437428743105e-09,2.282909217707512e-09,4.3720606252069294e-11
