,alpha,beta,delta
0,1.2183450681790892e-07,1.4504107954512966e-07,2.602632850485946e-09
1,8.521822759288932e-07,1.0145027094391586e-06,1.5668481229495206e-08
2,1.9287511146679198e-06,2.2961322793665707e-06,3.554282058213688e-08
3,3.7180644233601925e-06,4.426267170666896e-06,6.676702402688808e-08
4,4.78710684847911e-06,5.698936724379893e-06,8.599056249148228e-08
5,5.565670241972388e-06,6.625797907109985e-06,9.882952144817644e-08
6,4.50524153135904e-06,5.363382775427428e-06,8.104584693699053e-08
7,5.42217189380607e-06,6.454966540245322e-06,9.240878433000725e-08
8,4.154468393577291e-06,4.945795706639632e-06,7.007436051275935e-08
9,1.7605718733389788e-06,2.0959188968321176e-06,3.117466634068816e-08
10,1.4023612020526126e-06,1.6694776214912053e-06,2.416874025659149e-08
11,4.863679254617556e-07,5.790094350735186e-07,8.763189087959056e-09
12,7.81674705133945e-08,9.305651251594583e-08,1.603329294716067e-09
13,1.1036478100626386e-08,1.3138664405507602e-08,2.387771622319262e-10
14,2.21668152869215e-09,2.6389065817763687e-09,4.697177719917122e-11
