,alpha,beta,delta
0,8.55079008810044e-08,1.017951200964338e-07,2.165652182358072e-09
1,6.540988572801659e-07,7.786891158097212e-07,1.4317058299498023e-08
2,1.5276583332829644e-06,1.81864087295591e-06,3.337230952596517e-08
3,2.7994346516480787e-06,3.332660299581046e-06,6.008363220053862e-08
4,3.861860445214715e-06,4.5974529109698986e-06,8.223754465608627e-08
5,3.927778861435768e-06,4.675927215994962e-06,8.35643482201343e-08
6,3.7123360905735936e-06,4.419447726873326e-06,7.832766504979584e-08
7,3.7520271648817915e-06,4.466699005811656e-06,7.671985742756776e-08
8,2.9745937705960595e-06,3.5411830602334038e-06,5.97849076633472e-08
9,1.4158930710915827e-06,1.6855869893947412e-06,2.941360384246981e-08
10,1.112961050783277e-06,1.3249536318848532e-06,2.2722365069523495e-08
11,3.9650738392387067e-07,4.720325999093698e-07,8.433382959808725e-09
12,5.909236010100092e-08,7.034804773928681e-08,1.4303055671993903e-09
13,7.655936817988315e-09,9.114210497605136e-09,1.9860849670494473e-10
14,1.5241486992352644e-09,1.8144627371848386e-09,3.891685151996002e-11
