,alpha,beta,delta
0,2.2425237567373466e-08,2.6696711389730316e-08,1.3281728328026618e-09
1,2.394488350286795e-07,2.850581369389041e-07,1.291859422946079e-08
2,5.455276893071807e-07,6.494377253656913e-07,2.8916799695099475e-08
3,8.885124400755241e-07,1.0577529048518143e-06,4.658182453292079e-08
4,1.1117069819853345e-06,1.3234606928396837e-06,5.8201995822129996e-08
5,1.2965834317134143e-06,1.543551704420731e-06,6.746829236221956e-08
6,1.0824179190983322e-06,1.2885927608313478e-06,5.6921071245707976e-08
7,9.535185073124341e-07,1.13514108013385e-06,5.0362255816982875e-08
8,6.595732809151875e-07,7.852062868037946e-07,3.462358508012617e-08
9,3.161289444416405e-07,3.763439814781434e-07,1.6615680238353598e-08
10,2.7376939875735734e-07,3.259159509016158e-07,1.4185422836567976e-08
11,1.3077039971820105e-07,1.5567904728357267e-07,6.882301629172815e-09
12,2.719263827914279e-08,3.237218842755094e-08,1.4745851487883139e-09
13,1.7342384356358543e-09,2.0645695662331597e-09,1.0715201889939347e-10
14,4.2291566558040647e-10,5.034710304528648e-10,2.6041147332707543e-11
