,alpha,beta,delta
0,5.4517740743359975e-08,6.490207231352377e-08,7.506542938394326e-10
1,4.860727003985366e-07,5.786579766649244e-07,1.911126324277486e-09
2,1.0758281262286744e-06,1.2807477693198505e-06,3.924847632847268e-09
3,2.5947275074278595e-06,3.088961318366499e-06,6.688749747099261e-09
4,2.79205538960157e-06,3.323875463811393e-06,8.250874235936721e-09
5,3.0660316449693966e-06,3.6500376725826147e-06,8.836398644180658e-09
6,2.821282730469867e-06,3.3586699172260318e-06,7.9468884965534e-09
7,2.658381676596747e-06,3.1647400911866033e-06,6.712802608373101e-09
8,2.13764664200518e-06,2.5448174309585475e-06,4.90198843653962e-09
9,1.0342875184285712e-06,1.2312946647959178e-06,2.7553486137206685e-09
10,7.904864006460741e-07,9.410552388643739e-07,1.7748162185770339e-09
11,3.034835982342283e-07,3.6128999789789083e-07,7.583631453837666e-10
12,4.2007039149691695e-08,5.000837994010916e-08,2.8862127769775607e-10
13,4.604876065885975e-09,5.4819953165309225e-09,7.004779079116275e-11
14,8.571839048932592e-10,1.0204570296348322e-09,1.3359588846495693e-11
