,alpha,beta,delta
0,6.690027678228086e-08,7.964318664557244e-08,1.9036974821555825e-09
1,5.266208413598977e-07,6.269295730474972e-07,1.3065369683374267e-08
2,1.2197319942265146e-06,1.4520618978887078e-06,3.018463944024033e-08
3,2.5685318990602146e-06,3.057776070309779e-06,6.135738628080387e-08
4,3.0273258806444456e-06,3.603959381719578e-06,7.268456929734368e-08
5,3.319537534781497e-06,3.951830398549401e-06,7.921152051315957e-08
6,3.0190603196847454e-06,3.5941194281961256e-06,7.149066752419108e-08
7,2.897605592191354e-06,3.449530466894469e-06,6.698786086094217e-08
8,2.4179982344538234e-06,2.878569326730742e-06,5.456367621997723e-08
9,1.1179814662982719e-06,1.3309303170217522e-06,2.612830198117655e-08
10,8.727032965088827e-07,1.038932495843908e-06,2.0097996876149385e-08
11,3.501620497491938e-07,4.1685958303475446e-07,8.341731173535789e-09
12,4.847788269602801e-08,5.7711765114319056e-08,1.3129041465798838e-09
13,5.926693640878816e-09,7.055587667712875e-09,1.7415330328067462e-10
14,1.183143770257233e-09,1.4085044884014679e-09,3.420309977913388e-11
