,alpha,beta,delta
0,9.188372065373196e-09,1.0938538173063328e-08,9.81795682224824e-10
1,1.0112718586771928e-07,1.2038950698538007e-07,1.0288569188850074e-08
2,1.8404313290186804e-07,2.1909896774031909e-07,1.8586524707206148e-08
3,2.9378871039319795e-07,3.497484647538071e-07,2.9566552333068256e-08
4,4.160443738858418e-07,4.952909212926688e-07,4.1696256826048805e-08
5,4.0609864143094163e-07,4.834507636082638e-07,4.073112491641158e-08
6,4.146053789651364e-07,4.935778321013529e-07,4.182959000951958e-08
7,3.719231104535308e-07,4.427656076827747e-07,3.749595790767568e-08
8,2.3912992685772356e-07,2.8467848435443277e-07,2.403072653607973e-08
9,1.1927697892066837e-07,1.4199640347698615e-07,1.1977319752032572e-08
10,8.516838726640837e-08,1.0139093722191473e-07,8.511720637320522e-09
11,5.0003587566117944e-08,5.952808043585469e-08,5.0231656413932606e-09
12,8.815062281918626e-09,1.049412176418884e-08,9.015704082143904e-10
13,7.49170785403505e-10,8.918699826232202e-10,8.068129987286067e-11
14,1.7915026467154337e-10,2.132741246089802e-10,2.0425927533588992e-11
