,alpha,beta,delta
0,4.0569523878039616e-08,4.829705223576144e-08,1.4723141780030347e-09
1,3.6854502651134856e-07,4.387440791801768e-07,1.0778178676840205e-08
2,9.066651307746557e-07,1.0793632509222091e-06,2.592153385766874e-08
3,1.6186573262603799e-06,1.926973007452833e-06,4.443406043394382e-08
4,2.2521968091480203e-06,2.681186677557167e-06,6.039883984641424e-08
5,2.1889758614311407e-06,2.6059236445608816e-06,5.997077010263374e-08
6,1.9623528317369586e-06,2.336134323496379e-06,5.4622773711736496e-08
7,1.738412023287833e-06,2.069538122961706e-06,4.711168703056811e-08
8,1.1425782125166997e-06,1.3602121577579758e-06,3.114873973696043e-08
9,6.307310581088936e-07,7.508703072724922e-07,1.7796109832959956e-08
10,4.357594372514335e-07,5.187612348231351e-07,1.1853956721706145e-08
11,2.258474671789076e-07,2.6886603235584236e-07,6.132179859568729e-09
12,5.706120029561373e-08,6.79300003519211e-08,1.698490383831095e-09
13,2.694411669622369e-09,3.2076329400266297e-09,1.0441164391229489e-10
14,6.75937848643649e-10,8.04687915051963e-10,2.6409199985923728e-11
