,alpha,beta,delta
0,1.6373955017733912e-07,1.949280359254037e-07,3.023066286730437e-09
1,1.0474856357120718e-06,1.2470067091810378e-06,1.665459229122021e-08
2,2.3010867023739508e-06,2.7393889313975606e-06,3.671936720094e-08
3,4.562222044881272e-06,5.431216720096752e-06,7.036046703140657e-08
4,6.2232072408647715e-06,7.408580048648537e-06,9.546925305332709e-08
5,6.241747267805657e-06,7.4306515092924475e-06,9.655286349548586e-08
6,6.40491737356654e-06,7.624901635198262e-06,9.770823381315175e-08
7,5.980260351358249e-06,7.119357561140772e-06,8.896086565197043e-08
8,4.985054547524391e-06,5.934588747052845e-06,7.274591810904994e-08
9,2.2509684488463774e-06,2.679724343864735e-06,3.443273828302636e-08
10,1.5708388322923895e-06,1.8700462289195113e-06,2.3576849680386727e-08
11,5.652445360824913e-07,6.729101620029657e-07,8.847717148529667e-09
12,9.934830376760211e-08,1.1827179019952631e-07,1.7620427190058641e-09
13,1.4981017185777184e-08,1.7834544268782362e-08,2.778338796721185e-10
14,3.087373153083931e-09,3.6754442298618223e-09,5.5300430107758726e-11
