,alpha,beta,delta
0,2.1493141251107332e-08,2.5587072917984916e-08,1.018870466167554e-09
1,2.2394063027946046e-07,2.665959884279291e-07,8.490225883330378e-09
2,5.220641670543531e-07,6.215049607789917e-07,1.9222633977148453e-08
3,8.569338845188771e-07,1.0201593863319965e-06,3.0664775949994945e-08
4,1.245191186454035e-06,1.4823704600643275e-06,4.311750198050887e-08
5,1.1907545925497082e-06,1.417564991130605e-06,4.25565154918096e-08
6,1.1498394179570955e-06,1.3688564499489232e-06,4.146678214983167e-08
7,9.182274378820442e-07,1.0931279022405287e-06,3.2959788100576034e-08
8,6.353327475671752e-07,7.563485090085419e-07,2.281100451945481e-08
9,3.3263882337234595e-07,3.9599859925279275e-07,1.2341597078359201e-08
10,2.1996895447702484e-07,2.618678029488391e-07,7.818243810758307e-09
11,1.2208371828150632e-07,1.453377598589361e-07,4.333491254651078e-09
12,2.8807109957818292e-08,3.4294178521212254e-08,1.1048190738687683e-09
13,1.533691346471251e-09,1.825823031513394e-09,7.552661247686732e-11
14,3.77483863545766e-10,4.4938555184019755e-10,1.964754547200958e-11
