,alpha,beta,delta
0,1.8267573677352032e-07,2.174711152065718e-07,3.1894651211373112e-09
1,1.1176912523944052e-06,1.3305848242790538e-06,1.687865905655563e-08
2,2.4141099884906126e-06,2.8739404624888246e-06,3.668193507172943e-08
3,5.2569609887789215e-06,6.258286891403477e-06,7.611366190199575e-08
4,6.429340922576203e-06,7.653977288781193e-06,9.405212010415259e-08
5,6.8373703929992025e-06,8.139726658332384e-06,1.0028986584124924e-07
6,6.4520722195250145e-06,7.681038356577398e-06,9.409740283510576e-08
7,6.4025769528900255e-06,7.622115420107172e-06,9.03824378628362e-08
8,5.277244653310849e-06,6.282434111084344e-06,7.297000413790682e-08
9,2.416238829509455e-06,2.8764747970350653e-06,3.497656875827098e-08
10,1.8083411644310186e-06,2.152787100513117e-06,2.542488794842222e-08
11,5.846193403911454e-07,6.959754052275539e-07,8.693184116254337e-09
12,1.0723961808081599e-07,1.276662120009714e-07,1.8075156887347857e-09
13,1.672726160623704e-08,1.991340667409171e-08,2.932967861171422e-10
14,3.493133635768258e-09,4.1584924235336405e-09,5.873630508773118e-11
