,alpha,beta,delta
0,3.331059639451868e-08,3.965547189823652e-08,1.3226319359333083e-09
1,3.1888959607335224e-07,3.796304715158955e-07,1.0114039196875284e-08
2,7.805929845980683e-07,9.29277362616748e-07,2.379262424173021e-08
3,1.378562034960017e-06,1.6411452797143057e-06,4.0813055388212674e-08
4,1.855649857547207e-06,2.2091069732704842e-06,5.4289473077698206e-08
5,1.9551140848161666e-06,2.3275167676382932e-06,5.790448463466313e-08
6,1.6153947518857889e-06,1.9230889903402247e-06,4.885295048603655e-08
7,1.4272626729474159e-06,1.6991222296993045e-06,4.21238286442029e-08
8,1.0103757406907081e-06,1.2028282627270333e-06,2.966704950922783e-08
9,5.108293201491273e-07,6.081301430346754e-07,1.5740185540273904e-08
10,3.573114015562986e-07,4.2537071613845067e-07,1.0572261028496752e-08
11,1.9291805600180746e-07,2.296643523831041e-07,5.661220490934604e-09
12,4.76610478301522e-08,5.673934265494309e-08,1.5206759914646708e-09
13,2.276005645525126e-09,2.7095305303870543e-09,9.494270034690978e-11
14,5.715742663298605e-10,6.804455551545958e-10,2.414189567784502e-11
