,alpha,beta,delta
0,8.362915166317953e-09,9.955851388473753e-09,5.272196527933667e-10
1,8.053228457051173e-08,9.587176734584729e-08,4.150630327251147e-09
2,1.5215490650182277e-07,1.811367934545509e-07,7.799098718298019e-09
3,2.0634831608034737e-07,2.4565275723850873e-07,1.038155572987686e-08
4,2.805522127284973e-07,3.3399072943868724e-07,1.4085051644428001e-08
5,3.17832161968287e-07,3.7837162139081785e-07,1.595665307574978e-08
6,3.4958469611206344e-07,4.1617225727626597e-07,1.7234435444302537e-08
7,3.1733927594112404e-07,3.7778485231086195e-07,1.554639252798763e-08
8,2.2730535198673614e-07,2.706016095080192e-07,1.1237067108100267e-08
9,8.755991742706832e-08,1.0423799693698608e-07,4.493367211477665e-09
10,5.813299139473819e-08,6.920594213659308e-08,2.891262554418644e-09
11,3.76896957585472e-08,4.4868685426841904e-08,1.9017556605699386e-09
12,5.738712733367139e-09,6.831800873056117e-09,3.136536958799356e-10
13,7.087742313428544e-10,8.437788468367314e-10,4.324940807198302e-11
14,1.719860746835273e-10,2.0474532700419914e-10,1.2900870006525777e-11
