,alpha,beta,delta
0,1.9093520245111757e-07,2.2730381244180663e-07,3.2596279940139466e-09
1,1.1639475900910501e-06,1.3856518929655357e-06,1.7118641170256273e-08
2,2.5843225939414925e-06,3.0765745165970144e-06,3.7966937511213065e-08
3,5.138847164982153e-06,6.117675196407325e-06,7.300341595221598e-08
4,6.6221057862318356e-06,7.883459269323614e-06,9.440429949410172e-08
5,6.924919115105024e-06,8.24395132750598e-06,9.914533080343027e-08
6,7.068079997907508e-06,8.41438094988989e-06,9.956674433647684e-08
7,6.504377410837541e-06,7.743306441473263e-06,8.951536943605667e-08
8,5.428495957524849e-06,6.462495187529581e-06,7.314637615568493e-08
9,2.5489056914479846e-06,3.0344115374380765e-06,3.5880426501797966e-08
10,1.8072928365378792e-06,2.1515390911165226e-06,2.4865468268795025e-08
11,5.907472244163655e-07,7.03270505257578e-07,8.607223052927994e-09
12,1.1180816192469658e-07,1.3310495467225783e-07,1.8384211319632268e-09
13,1.766478218453398e-08,2.102950260063569e-08,3.0112255773349583e-10
14,3.7148190865046955e-09,4.422403674410352e-09,6.049157331514061e-11
