,alpha,beta,delta
0,1.7279679740604694e-07,2.0571047310243683e-07,3.0993997375140037e-09
1,1.0964371610245085e-06,1.3052823345529862e-06,1.6923437398924085e-08
2,2.3519073755796272e-06,2.7998897328328893e-06,3.6622715148087804e-08
3,4.964769051914923e-06,5.910439347517764e-06,7.403467598840396e-08
4,6.075542599974497e-06,7.2327888094934475e-06,9.158985581311628e-08
5,6.727094803373054e-06,8.00844619449173e-06,1.0098834470010274e-07
6,6.084425826895217e-06,7.243364079637163e-06,9.138462640903189e-08
7,6.513010398788941e-06,7.753583808082071e-06,9.38007399692742e-08
8,5.198111973138189e-06,6.188228539450224e-06,7.366199263905291e-08
9,2.3481523987410667e-06,2.7954195223107936e-06,3.487728196349831e-08
10,1.7133166747748874e-06,2.039662708065342e-06,2.481489855635347e-08
11,5.650904880040057e-07,6.727267714333401e-07,8.643093838964444e-09
12,1.0318453675976478e-07,1.2283873423781521e-07,1.7855282753888028e-09
13,1.5837749760628488e-08,1.88544640007482e-08,2.8569274242561624e-10
14,3.2899049889846657e-09,3.916553558315078e-09,5.7020733912251315e-11
