,alpha,beta,delta
0,4.998514923293779e-08,5.9506130039211655e-08,1.6232226058515982e-09
1,4.2504747408796427e-07,5.06008897723767e-07,1.2099734228122464e-08
2,9.407538107464439e-07,1.1199450127933856e-06,2.6820995182937703e-08
3,2.051319428868061e-06,2.4420469391286438e-06,5.636213883777951e-08
4,2.281617853591112e-06,2.716211730465609e-06,6.323439172773424e-08
5,2.6760728787864923e-06,3.1858010461743954e-06,7.254503000125524e-08
6,2.4088401601084466e-06,2.86766685727196e-06,6.505861592311527e-08
7,2.383451386715191e-06,2.837442127041894e-06,6.234268586314066e-08
8,1.696482679124242e-06,2.019622237052669e-06,4.415933488463533e-08
9,8.461828631435336e-07,1.0073605513613494e-06,2.2670085751507756e-08
10,6.29706685405313e-07,7.496508159587059e-07,1.6729627727005363e-08
11,2.58597120808599e-07,3.078537152483322e-07,7.080807408345169e-09
12,4.0392086431342465e-08,4.80858171801696e-08,1.2252163405485925e-09
13,4.431306036814335e-09,5.275364329540875e-09,1.4933173350547674e-10
14,8.907937261566019e-10,1.0604687216150022e-09,2.956358731600776e-11
