,alpha,beta,delta
0,3.1351511823150544e-08,3.7323228360893504e-08,1.2694352102446174e-09
1,2.9899040821843027e-07,3.5594096216479793e-07,9.757820193688165e-09
2,7.5648087640317e-07,9.005724719085356e-07,2.3923774132685266e-08
3,1.3184861455826e-06,1.5696263637888094e-06,4.019931937440737e-08
4,1.6549506753891337e-06,1.9701793754632542e-06,5.019071900067225e-08
5,1.7646449086236094e-06,2.1007677483614397e-06,5.3993682877851584e-08
6,1.6666486312702221e-06,1.984105513416931e-06,5.075348220906848e-08
7,1.3372879693769307e-06,1.5920094873534888e-06,4.088086896261909e-08
8,9.182920184963993e-07,1.093204783924285e-06,2.799952297573643e-08
9,4.7074267123773197e-07,5.604079419496809e-07,1.5009665105513663e-08
10,3.4166873883966926e-07,4.067484986186538e-07,1.0327164835862366e-08
11,1.7932076719813744e-07,2.1347710380730647e-07,5.410151242787357e-09
12,4.46148760591022e-08,5.311294768940738e-08,1.4699151679677382e-09
13,2.1705016325756646e-09,2.583930514971029e-09,9.172354970791669e-11
14,5.342543538182518e-10,6.360170878788711e-10,2.3392113568334907e-11
