,alpha,beta,delta
0,2.9153592307188807e-08,3.47066575085581e-08,1.2208753205229953e-09
1,2.828173467477918e-07,3.36687317556895e-07,9.527256056297691e-09
2,6.994805985434128e-07,8.327149982659676e-07,2.2638359861214836e-08
3,1.2452131572422962e-06,1.4823966157646381e-06,3.8948819147939187e-08
4,1.5786707567824908e-06,1.8793699485505841e-06,4.928935765659917e-08
5,1.6797106044683666e-06,1.99965548150996e-06,5.286955019584289e-08
6,1.484090376172529e-06,1.7667742573482486e-06,4.720088452328387e-08
7,1.3048480970255457e-06,1.5533905916970781e-06,4.031102686697409e-08
8,8.468619371319305e-07,1.0081689727761077e-06,2.6606047911249498e-08
9,4.4668014429079104e-07,5.317620765366559e-07,1.4681841142394154e-08
10,3.088849734175104e-07,3.677202064494171e-07,9.684157010718763e-09
11,1.673921387853758e-07,1.9927635569687593e-07,5.228241534647974e-09
12,4.186916565708977e-08,4.984424482986877e-08,1.4226606899032715e-09
13,2.0398752517315987e-09,2.4284229187280935e-09,8.850803135825731e-11
14,4.990689913361327e-10,5.941297515906341e-10,2.264207988079846e-11
