,alpha,beta,delta
0,1.3580106051864827e-08,1.6166792918886698e-08,7.652223458466313e-10
1,1.4466949320829906e-07,1.7222558715273696e-07,6.6186221151166784e-09
2,3.14733622315821e-07,3.7468288370931073e-07,1.3935402011909943e-08
3,4.811469641656696e-07,5.727940049591305e-07,2.0748532997719975e-08
4,6.600103577616279e-07,7.857266163828904e-07,2.7927248288717644e-08
5,6.819401662871471e-07,8.118335312942227e-07,2.925083385753827e-08
6,6.886399038509237e-07,8.198094093463377e-07,2.95637429564728e-08
7,6.208892405398306e-07,7.391538577855126e-07,2.6339409556604113e-08
8,4.158587759277359e-07,4.950699713425427e-07,1.7767848965364752e-08
9,1.8922357607690575e-07,2.2526616199631634e-07,8.44247215377823e-09
10,1.2399908737914605e-07,1.4761796116565006e-07,5.3729875251119474e-09
11,7.400350720307128e-08,8.809941333698963e-08,3.178218135943418e-09
12,1.4277206731340693e-08,1.6996674680167488e-08,6.630540224002749e-10
13,1.0817185267008312e-09,1.2877601508343229e-09,6.074828560550141e-11
14,2.64388019810608e-10,3.1474764263167616e-10,1.591464930646265e-11
