,alpha,beta,delta
0,1.311647970317024e-07,1.561485678948838e-07,2.706848797651771e-09
1,8.627005770756623e-07,1.0270244965186455e-06,1.5525785644160437e-08
2,1.9556432828581342e-06,2.328146765307302e-06,3.5098983166631504e-08
3,3.877674958898385e-06,4.6162797129742686e-06,6.739701928863086e-08
4,5.787714248487446e-06,6.890136010104102e-06,9.885743676299598e-08
5,5.264323692053781e-06,6.267052014349739e-06,9.174736688110767e-08
6,5.293755159604361e-06,6.302089475719477e-06,9.102927890177832e-08
7,5.0797922151783736e-06,6.047371684736158e-06,8.514941381755001e-08
8,3.9983256883483104e-06,4.759911533747989e-06,6.606152080254218e-08
9,1.9218867422782606e-06,2.28796040747412e-06,3.298349347966541e-08
10,1.470159260250296e-06,1.7501895955360667e-06,2.4569799914252754e-08
11,4.954936819360447e-07,5.898734308762436e-07,8.679219736268096e-09
12,8.28261480623683e-08,9.860255721710513e-08,1.6449921796465696e-09
13,1.1746594402922903e-08,1.3984040955860598e-08,2.4648838758068087e-10
14,2.377842274287126e-09,2.830764612246578e-09,4.8616752121573987e-11
