,alpha,beta,delta
0,1.4612555954332453e-07,1.739589994563387e-07,2.851247787393557e-09
1,9.91632716484995e-07,1.180515138672613e-06,1.658052051539314e-08
2,2.1206618596854065e-06,2.524597452006436e-06,3.581658152638355e-08
3,4.20015818828714e-06,5.000188319389452e-06,6.888084104868179e-08
4,5.4443689426335655e-06,6.481391598373292e-06,8.93503868104254e-08
5,6.564462818254407e-06,7.814836688398103e-06,1.0605566147842998e-07
6,5.160738818930638e-06,6.14373668920314e-06,8.480018732266068e-08
7,5.999809650897795e-06,7.142630536783089e-06,9.365441907414538e-08
8,4.4130497078896446e-06,5.253630604630529e-06,6.83792337998954e-08
9,2.1981698804132995e-06,2.6168689052539274e-06,3.5205216236784705e-08
10,1.483544738320121e-06,1.7661246884763344e-06,2.3495525067109952e-08
11,5.308581772376921e-07,6.319740205210621e-07,8.765045578907597e-09
12,9.070910980384138e-08,1.0798703548076355e-07,1.7000882719584361e-09
13,1.331977849023784e-08,1.5856879155045045e-08,2.6236842524198384e-10
14,2.7174986131600454e-09,3.2351173966191018e-09,5.193360264364324e-11
