,alpha,beta,delta
0,1.2249189537351493e-08,1.4582368496847014e-08,7.14707880705665e-10
1,1.2796236885209064e-07,1.5233615339534598e-07,5.991012610808162e-09
2,2.699630905169644e-07,3.213846315678147e-07,1.2475620590640738e-08
3,4.4603865632076993e-07,5.309984003818689e-07,1.9778119880492706e-08
4,5.201626962885167e-07,6.19241305105377e-07,2.3350903172355522e-08
5,6.050379295771509e-07,7.202832494966081e-07,2.7186515430672934e-08
6,6.111690244910999e-07,7.275821720132142e-07,2.6870614998564712e-08
7,5.394654277795956e-07,6.422207473566614e-07,2.394062903867376e-08
8,3.5104076672115435e-07,4.1790567466804085e-07,1.561985198868926e-08
9,1.6603584489114267e-07,1.9766172010850315e-07,7.723161926998496e-09
10,1.1282243236673524e-07,1.343124194842086e-07,5.047786017028648e-09
11,6.145323678921389e-08,7.315861522525463e-08,2.7319077989067874e-09
12,1.214153409324872e-08,1.4454207253867522e-08,5.962067154681268e-10
13,9.954650183617254e-10,1.1850774028115776e-09,5.682462628931601e-11
14,2.3110691659139474e-10,2.751272816564223e-10,1.517738620050454e-11
