,alpha,beta,delta
0,2.7101951729329902e-08,3.2264228249202265e-08,1.1688767938465218e-09
1,2.726370915473407e-07,3.2456796612778655e-07,9.374149952046499e-09
2,6.569258133928133e-07,7.82054539753349e-07,2.1846688174650372e-08
3,1.1253635096545775e-06,1.339718463874497e-06,3.633323044367269e-08
4,1.5105913278680285e-06,1.7983230093667004e-06,4.8139832433120086e-08
5,1.5219747213876367e-06,1.8118746683186148e-06,4.931410916346526e-08
6,1.402766207092023e-06,1.6699597703476463e-06,4.5809224437549436e-08
7,1.2249540289662097e-06,1.4582786059121542e-06,3.952381695119613e-08
8,7.882165279932772e-07,9.383530095158061e-07,2.5774834043988404e-08
9,4.133952346515823e-07,4.921371841090265e-07,1.399324823399807e-08
10,2.909248685095814e-07,3.463391291780731e-07,9.420496571201512e-09
11,1.5521472998193017e-07,1.8477944045467876e-07,5.014003554599367e-09
12,3.809629000697987e-08,4.535272619878556e-08,1.3307419966062762e-09
13,1.8952290314156054e-09,2.25622503739953e-09,8.530272071500227e-11
14,4.661669007732426e-10,5.549605961586221e-10,2.1892977401873236e-11
